user,email,department,student_lat,student_lon,cluster_id,centroid_lat,centroid_lon,road_distance_km,within_distance_limit
Unknown,N/A,N/A,13.108321006067596,79.90982620582,0,13.104333577998503,79.9060718457444,0.806,True
Unknown,N/A,N/A,13.1033201,79.9075199,0,13.104333577998503,79.9060718457444,0.317,True
Unknown,N/A,N/A,13.1032096,79.9076198,0,13.104333577998503,79.9060718457444,0.376,True
Unknown,N/A,N/A,13.10888662378412,79.910070511803,0,13.104333577998503,79.9060718457444,0.875,True
Unknown,N/A,N/A,13.103661908857289,79.90643450683093,0,13.104333577998503,79.9060718457444,0.156,True
Unknown,N/A,N/A,13.0845182,80.1621332,1,13.082750547679424,80.16812082433053,0.922,True
Unknown,N/A,N/A,13.080292324869117,80.16165174772715,1,13.082750547679424,80.16812082433053,0.973,True
Unknown,N/A,N/A,13.0814762,80.1669512,1,13.082750547679424,80.16812082433053,0.378,True
Unknown,N/A,N/A,13.0848241,80.1712824,1,13.082750547679424,80.16812082433053,0.836,True
Unknown,N/A,N/A,13.082261420026123,80.16927098894186,1,13.082750547679424,80.16812082433053,0.313,True
Unknown,N/A,N/A,13.08319331546285,80.17258786917762,1,13.082750547679424,80.16812082433053,0.928,True
Unknown,N/A,N/A,13.08147975326898,80.1670479843885,1,13.082750547679424,80.16812082433053,0.38,True
Unknown,N/A,N/A,13.081678809055234,80.16671012202846,1,13.082750547679424,80.16812082433053,0.377,True
Unknown,N/A,N/A,13.0822908,80.16955209999999,1,13.082750547679424,80.16812082433053,0.343,True
Unknown,N/A,N/A,13.081948536070882,80.1665167543326,1,13.082750547679424,80.16812082433053,0.434,True
Unknown,N/A,N/A,12.8101529,79.7140628,2,12.8146365850213,79.70982718480954,0.993,True
Unknown,N/A,N/A,12.81029133183681,79.70646623402669,2,12.8146365850213,79.70982718480954,0.818,True
Unknown,N/A,N/A,12.810338,79.706283,2,12.8146365850213,79.70982718480954,0.829,True
Unknown,N/A,N/A,12.8103978,79.7071457,2,12.8146365850213,79.70982718480954,0.735,True
Unknown,N/A,N/A,12.8105302,79.70634969999999,2,12.8146365850213,79.70982718480954,0.829,True
Unknown,N/A,N/A,12.8154065,79.7131501,2,12.8146365850213,79.70982718480954,0.494,True
Unknown,N/A,N/A,12.81477462856184,79.70543420607648,2,12.8146365850213,79.70982718480954,0.841,True
Unknown,N/A,N/A,12.8149644,79.70543909999999,2,12.8146365850213,79.70982718480954,0.818,True
Unknown,N/A,N/A,12.96939584892299,80.1861950602837,3,12.969892335196137,80.18878491462374,0.324,True
Unknown,N/A,N/A,12.97069637775388,80.18631121485573,3,12.969892335196137,80.18878491462374,0.392,True
Unknown,N/A,N/A,12.9691796,80.1832051,3,12.969892335196137,80.18878491462374,0.729,True
Unknown,N/A,N/A,12.969231281877136,80.1896785638744,3,12.969892335196137,80.18878491462374,0.197,True
Unknown,N/A,N/A,13.0842985906903,79.66986468942468,4,13.08385326524546,79.66584306884535,0.596,True
Unknown,N/A,N/A,13.0870681,79.6670506,4,13.08385326524546,79.66584306884535,0.537,True
Unknown,N/A,N/A,13.130450952771549,80.15887257003689,5,13.132613690150203,80.16682151115721,0.981,True
Unknown,N/A,N/A,13.131915362484165,80.1702011896881,5,13.132613690150203,80.16682151115721,0.765,True
Unknown,N/A,N/A,13.131997030411744,80.16954639541234,5,13.132613690150203,80.16682151115721,0.7,True
Unknown,N/A,N/A,13.1336036,80.169587,5,13.132613690150203,80.16682151115721,0.879,True
Unknown,N/A,N/A,13.130469482168534,80.15887706700997,5,13.132613690150203,80.16682151115721,0.982,True
Unknown,N/A,N/A,13.132031783127458,80.17012896641965,5,13.132613690150203,80.16682151115721,0.757,True
Unknown,N/A,N/A,13.115975013283432,80.23169136566239,6,13.11661174925203,80.23478125300457,0.613,True
Unknown,N/A,N/A,13.121638330423185,80.23227759110941,6,13.11661174925203,80.23478125300457,0.867,True
Unknown,N/A,N/A,13.11540648398657,80.2342667090732,6,13.11661174925203,80.23478125300457,0.187,True
Unknown,N/A,N/A,13.0319065,80.2755197,7,13.033112757761769,80.26775153517973,0.958,True
Unknown,N/A,N/A,13.029440499165084,80.26668184857418,7,13.033112757761769,80.26775153517973,0.431,True
Unknown,N/A,N/A,12.9155116,80.1521428,8,12.915477136808788,80.14994322850632,0.241,True
Unknown,N/A,N/A,12.9199237,80.1440795,8,12.915477136808788,80.14994322850632,0.933,True
Unknown,N/A,N/A,12.9155116,80.1521428,8,12.915477136808788,80.14994322850632,0.241,True
Unknown,N/A,N/A,13.123618850407189,80.28791199323548,9,13.127990399571031,80.29097037257931,0.623,True
Unknown,N/A,N/A,13.1251842,80.289183,9,13.127990399571031,80.29097037257931,0.398,True
Unknown,N/A,N/A,13.125076190950306,80.28913322424316,9,13.127990399571031,80.29097037257931,0.411,True
Unknown,N/A,N/A,13.1251842,80.289183,9,13.127990399571031,80.29097037257931,0.398,True
Unknown,N/A,N/A,13.1354163,80.2933872,9,13.127990399571031,80.29097037257931,0.919,True
Unknown,N/A,N/A,13.125284201794962,80.2892530224759,9,13.127990399571031,80.29097037257931,0.398,True
Unknown,N/A,N/A,13.0247754,80.2245208,10,13.024228763370031,80.22824892715333,0.823,True
Unknown,N/A,N/A,13.021566701725156,80.22395057775256,10,13.024228763370031,80.22824892715333,0.557,True
Unknown,N/A,N/A,13.278504619578785,80.26023988530747,11,13.274825374691169,80.26205263745764,0.62,True
Unknown,N/A,N/A,13.278723478762092,80.26025801156464,11,13.274825374691169,80.26205263745764,0.644,True
